Latitude,Longitude,Time,Label,Location
55.864237,-4.251806,Mon Oct 05 08:20:26 +0000 2015,1,Glasgow  Scotland
33.748995,-84.387982,Mon Oct 05 08:20:26 +0000 2015,1,Atlanta  GA
33.448377,-112.074037,Mon Oct 05 08:20:28 +0000 2015,1,Phoenix Arizona
34.000710,-81.034814,Mon Oct 05 08:20:29 +0000 2015,1,Columbia  South Carolina USA
40.569789,-79.764770,Mon Oct 05 08:20:32 +0000 2015,1,New Kensington  PA
33.748995,-84.387982,Mon Oct 05 08:20:35 +0000 2015,1,Atlanta  GA
35.689197,51.388974,Mon Oct 05 08:20:36 +0000 2015,1,IRAN TEHRAN
35.125801,-117.985904,Mon Oct 05 08:20:37 +0000 2015,1,California City CA
51.621440,-3.943646,Mon Oct 05 08:20:41 +0000 2015,1,swansea
33.748995,-84.387982,Mon Oct 05 08:20:42 +0000 2015,1,Atlanta  GA      
-20.347782,-40.294953,Mon Oct 05 08:20:42 +0000 2015,1,Vila   Velha   ES   Brasil
42.407211,-71.382437,Mon Oct 05 08:20:43 +0000 2015,1,USA  ma
35.689197,51.388974,Mon Oct 05 08:20:44 +0000 2015,1,IRAN TEHRAN
33.448377,-112.074037,Mon Oct 05 08:20:46 +0000 2015,1,Phoenix  AZ
6.524379,3.379206,Mon Oct 05 08:20:52 +0000 2015,1,Lagos 
14.479130,120.896963,Mon Oct 05 08:20:58 +0000 2015,1,Cavite  Philippines
41.740680,-71.308609,Mon Oct 05 08:20:59 +0000 2015,1,Barrington  RI
25.761680,-80.191790,Mon Oct 05 08:21:01 +0000 2015,1,Miami
52.119508,5.194365,Mon Oct 05 08:21:07 +0000 2015,1,U.K.
30.339781,76.386880,Mon Oct 05 08:21:09 +0000 2015,1,Patiala Punjab
38.793170,-77.447766,Mon Oct 05 08:21:12 +0000 2015,1,Yorkshire
52.486243,-1.890401,Mon Oct 05 08:21:14 +0000 2015,1,Birmingham  UK
42.360082,-71.058880,Mon Oct 05 08:21:15 +0000 2015,1,Boston  MA
34.000710,-81.034814,Mon Oct 05 08:21:19 +0000 2015,1,Columbia  SC
33.916680,-117.900060,Mon Oct 05 08:21:25 +0000 2015,1,Brea  CA      
28.704300,72.592980,Mon Oct 05 08:21:27 +0000 2015,1,khajuwala Bikaner Rajasthan
31.554606,74.357158,Mon Oct 05 08:21:27 +0000 2015,1,Lahore  Pakistan
51.560532,-3.329398,Mon Oct 05 08:21:31 +0000 2015,1,Llantwit Fardre  UK
36.510071,-4.882447,Mon Oct 05 08:21:36 +0000 2015,1,Marbella
36.510071,-4.882447,Mon Oct 05 08:21:36 +0000 2015,1,Marbella
51.878671,-0.420025,Mon Oct 05 08:21:37 +0000 2015,1,Luton
9.583555,6.546316,Mon Oct 05 08:21:38 +0000 2015,1,Minna  Nigeria
55.755826,37.617300,Mon Oct 05 08:21:38 +0000 2015,1,Moscow  Russia
40.574926,-73.985941,Mon Oct 05 08:21:38 +0000 2015,1,coney island
44.314844,-85.602364,Mon Oct 05 08:21:48 +0000 2015,1,Michigan
57.860373,-5.504852,Mon Oct 05 08:21:49 +0000 2015,1,east coast  uk
34.000710,-81.034814,Mon Oct 05 08:21:52 +0000 2015,1,Columbia  SC
53.480759,-2.242631,Mon Oct 05 08:21:54 +0000 2015,1,Manchester  England
1.553278,110.359213,Mon Oct 05 08:21:57 +0000 2015,1,Sarawak
51.507351,-0.127758,Mon Oct 05 08:21:57 +0000 2015,1,London  UK
-1.292066,36.821946,Mon Oct 05 08:22:04 +0000 2015,1,Nairobi   Kenya
40.608430,-75.490183,Mon Oct 05 08:22:06 +0000 2015,1,Allentown  Pennsylvania
9.453285,77.802417,Mon Oct 05 08:22:06 +0000 2015,1,Sivakasi
53.480759,-2.242631,Mon Oct 05 08:22:08 +0000 2015,1,Manchester  England
51.507351,-0.127758,Mon Oct 05 08:22:11 +0000 2015,1,London
28.022935,73.311916,Mon Oct 05 08:22:13 +0000 2015,1,Bikaner
34.092809,-118.328661,Mon Oct 05 08:22:14 +0000 2015,1,Hollywood  CA
55.403756,10.402370,Mon Oct 05 08:22:20 +0000 2015,1,Odense
55.864237,-4.251806,Mon Oct 05 08:22:20 +0000 2015,1,Glasgow
29.969512,76.878282,Mon Oct 05 08:22:25 +0000 2015,1,KURUKSHETRA
38.722252,-9.139337,Mon Oct 05 08:22:29 +0000 2015,1,Lisbon  Portugal
38.907192,-77.036871,Mon Oct 05 08:22:30 +0000 2015,1,Washington
25.216667,55.166667,Mon Oct 05 08:22:32 +0000 2015,1,World
34.134616,-77.881652,Mon Oct 05 08:22:34 +0000 2015,1,Mrytle Grove NC       
48.856614,2.352222,Mon Oct 05 08:22:35 +0000 2015,1,Paris  France
53.480759,-2.242631,Mon Oct 05 08:22:36 +0000 2015,1,Manchester  England
8.855684,7.179026,Mon Oct 05 08:22:40 +0000 2015,1,Federal Capital Territory
18.486058,-69.931212,Mon Oct 05 08:22:41 +0000 2015,1,Santo Domingo
18.486058,-69.931212,Mon Oct 05 08:22:44 +0000 2015,1,santo domingo
28.613939,77.209021,Mon Oct 05 08:22:53 +0000 2015,1,NEW DELHI
33.520661,-86.802490,Mon Oct 05 08:22:52 +0000 2015,1,Birmingham
39.320980,-111.093731,Mon Oct 05 08:22:59 +0000 2015,1,ÜT    .           .      
29.760427,-95.369803,Mon Oct 05 08:23:00 +0000 2015,1,Houston  TX
34.000710,-81.034814,Mon Oct 05 08:23:01 +0000 2015,1,Columbia  SC
51.507351,-0.127758,Mon Oct 05 08:23:01 +0000 2015,1,London
43.769560,11.255814,Mon Oct 05 08:23:03 +0000 2015,1,Firenze  Italia
28.613939,77.209021,Mon Oct 05 08:23:04 +0000 2015,1,Delhi
30.332184,-81.655651,Mon Oct 05 08:23:05 +0000 2015,1,Jacksonville  FL
51.455643,7.011555,Mon Oct 05 08:23:06 +0000 2015,1,E.A.N 
25.216667,55.166667,Mon Oct 05 08:23:08 +0000 2015,1,World
6.524379,3.379206,Mon Oct 05 08:23:15 +0000 2015,1,Lagos  Nigeria
40.712784,-74.005941,Mon Oct 05 08:23:15 +0000 2015,1,NYC
41.715138,44.827096,Mon Oct 05 08:23:19 +0000 2015,1,Georgia Tbilisi
52.847550,-8.280750,Mon Oct 05 08:23:20 +0000 2015,1,The island of Ireland
18.380782,-65.957387,Mon Oct 05 08:23:25 +0000 2015,1,South Carolina North Carolina
53.480759,-2.242631,Mon Oct 05 08:23:26 +0000 2015,1,Manchester  England
51.507351,-0.127758,Mon Oct 05 08:23:27 +0000 2015,1,London  UK
53.480759,-2.242631,Mon Oct 05 08:23:39 +0000 2015,1,Manchester
